option_text;del_yn;status_id;question_master_id
Managed는 HDFS내에 Data가 위치하지만 External은 외부에 위치한다;N;2;1022
Managed는 Table의 Configuration을 변경가능하지만 External은 그렇지 않다;N;2;1022
Managed는 Cluster 내부에서 직접 생성한 Table이고, External은 외부에서 만든 Table을 Loading 한 Table이다;N;2;1022
External Table은 Managed Table로 변경할 수 있지만, Managed Table은 External로 변경할 수 없다;N;2;1022
Managed Table은 External Table로 변경할 수 있지만, External Table은 Managed로 변경할 수 없다;N;2;1022
가장 앞 Column의 값을 기반으로 Partitioning 하여 저장한다;N;2;1023
Dynamic Partition의 경우, SHOW PARTITIONS 명령어의 사용이 불가능하다;N;2;1023
WHERE 조건절에는 1개 이상의 PARTITION FILTER의 사용이 불가능하다;N;2;1023
EXTERNAL Table의 경우 Partition 추가가 불가능하다;N;2;1023
SerDe에게 Properties를 넘겨주기 위해 WITH SERDEPROPERTIES 구문을 사용한다;N;2;1024
ROW FORMAT SERDE 구문으로 사용이 가능하다;N;2;1024
Serializer/Deserializer의 약어이다;N;2;1024
기본적으로 Hive는 LazySimpleSerDe를 사용한다;N;2;1024
Hive Table의 이름은 변경할 수 없다;N;2;1025
Database Location 밑에 Hive Table Name으로 Directory가 만들어지고 이 밑에 Data가 저장된다;N;2;1025
External Table의 경우 기존 존재하는 Partition을 변경할 수 없다;N;2;1025
Table 내의 Column에는 Comments를 달 수 있지만, Table 자체에는 불가능하다;N;2;1025
INSERT OVERWRITE 구문을 통해 해당 Partition(or Table)의 Data를 교체할 수 있다;N;2;1026
INSERT INTO 구문을 사용하여 기존 존재하는 Partition(or Table)에 Data를 추가할 수 있다;N;2;1026
Multi Insert Statements를 지원한다;N;2;1026
Dynamic Partition Insert Statements를 지원한다;N;2;1026
HAVING;N;2;1027
RLIKE;N;2;1027
GROUP BY;N;2;1027
LEFT OUTER JOIN;N;2;1027
WHERE 절에 주로 걸리는 조건 위주로 Partition을 생성한다;N;2;1028
Data type에 따라 2단계 혹은 3단계 이상의 Partition을 고려해 보는것도 좋다;N;2;1028
ETL 작업 시, 일자별 Table을 관리하는 것보다 Partitioning을 사용하는 것이 좋다;N;2;1028
Dynamic Partition 사용 시, Partition의 최대 갯수를 제한할 수 있다;N;2;1028
Partitioned Table의 경우 WHERE절에 Partition Filter를 포함해야 한다;N;2;1029
ORDER BY절을 사용 시 반드시 LIMIT 절을 포함 해야 한다;N;2;1029
CARTESIAN PRODUCT JOIN을 수행할 수 없다;N;2;1029
hive.exec.compress.intermediate Option을 통해 중간 파일의 압축 여부를 결정할 수 있다;N;2;1030
hive.exec.compress.output Option을 통해 중간 파일의 압축 여부를 결정할 수 있다;N;2;1030
압축속도와 압축률은 대부분 반비례 관계이기 때문에 특성에 맞는 압축 방식을 사용해야 한다;N;2;1030
snappy 압축방식의 경우 CPU usage가 낮고, 성능이 좋아 중간 파일의 압축에 많이 사용된다;N;2;1030
